step,x,y,reward,done,action
0,0,0,0.0,False,0
1,0,0,-1.0,False,1
2,0,0,-1.0,False,3
3,0,1,0.0,False,3
4,0,2,0.0,False,1
5,1,2,0.0,False,3
6,1,2,-1.0,False,2
7,1,1,0.0,False,1
8,2,1,0.0,False,0
9,1,1,0.0,False,0
10,0,1,0.0,False,3
11,0,2,0.0,False,3
12,0,3,0.0,False,0
13,0,3,-1.0,False,3
14,0,3,-1.0,False,3
15,0,3,-1.0,False,2
16,0,2,0.0,False,3
17,0,3,0.0,False,0
18,0,3,-1.0,False,0
19,0,3,-1.0,False,0
20,0,3,-1.0,False,1
21,0,3,-1.0,False,3
22,0,3,-1.0,False,0
23,0,3,-1.0,False,3
24,0,3,-1.0,False,0
25,0,3,-1.0,False,0
26,0,3,-1.0,False,0
27,0,3,-1.0,False,1
28,0,3,-1.0,False,0
29,0,3,-1.0,False,2
30,0,2,0.0,False,0
31,0,2,-1.0,False,0
32,0,2,-1.0,False,1
33,1,2,0.0,False,1
34,2,2,0.0,False,2
35,2,1,0.0,False,3
36,2,2,0.0,False,0
37,1,2,0.0,False,3
38,1,2,-1.0,False,0
39,0,2,0.0,False,0
40,0,2,-1.0,False,3
41,0,3,0.0,False,0
42,0,3,-1.0,False,1
43,0,3,-1.0,False,1
44,0,3,-1.0,False,2
45,0,2,0.0,False,2
46,0,1,0.0,False,3
47,0,2,0.0,False,1
48,1,2,0.0,False,3
49,1,2,-1.0,False,0
50,0,2,0.0,False,0
51,0,2,-1.0,False,3
52,0,3,0.0,False,1
53,0,3,-1.0,False,2
54,0,2,0.0,False,3
55,0,3,0.0,False,3
56,0,3,-1.0,False,1
57,0,3,-1.0,False,2
58,0,2,0.0,False,3
59,0,3,0.0,False,0
60,0,3,-1.0,False,1
61,0,3,-1.0,False,2
62,0,2,0.0,False,0
63,0,2,-1.0,False,2
64,0,1,0.0,False,2
65,0,0,0.0,False,3
66,0,1,0.0,False,3
67,0,2,0.0,False,2
68,0,1,0.0,False,0
69,0,1,-1.0,False,0
70,0,1,-1.0,False,2
71,0,0,0.0,False,3
72,0,1,0.0,False,1
73,1,1,0.0,False,0
74,0,1,0.0,False,3
75,0,2,0.0,False,3
76,0,3,0.0,False,3
77,0,3,-1.0,False,0
78,0,3,-1.0,False,3
79,0,3,-1.0,False,0
80,0,3,-1.0,False,3
81,0,3,-1.0,False,3
82,0,3,-1.0,False,1
83,0,3,-1.0,False,2
84,0,2,0.0,False,0
85,0,2,-1.0,False,0
86,0,2,-1.0,False,0
87,0,2,-1.0,False,3
88,0,3,0.0,False,2
89,0,2,0.0,False,3
90,0,3,0.0,False,2
91,0,2,0.0,False,2
92,0,1,0.0,False,3
93,0,2,0.0,False,2
94,0,1,0.0,False,0
95,0,1,-1.0,False,0
96,0,1,-1.0,False,0
97,0,1,-1.0,False,3
98,0,2,0.0,False,3
99,0,3,0.0,False,1
100,0,3,-1.0,False,0
101,0,3,-1.0,False,1
102,0,3,-1.0,False,0
103,0,3,-1.0,False,2
104,0,2,0.0,False,0
105,0,2,-1.0,False,1
106,1,2,0.0,False,1
107,2,2,0.0,False,2
108,2,1,0.0,False,2
109,2,0,0.0,False,1
110,3,0,1.0,True,0
